date	Ageing	Aids	Animal Welfare	Bird Flu	BSE	Coal Pits	EU	Countryside	Crime	Defence	Drug Abuse	Economy	Education	Farming	German Reunification	GM foods	Housing	Inflation/Prices	Inner Cities	Local Govt	Low Pay	Morality	NHS	Northern Ireland	Nuclear Power	Nuclear Weapons	Pensions	Fuel Prices	Environment	The Pound	Poverty/Inequality	Privatisation	Public Services	Immigration	Scots/Welsh Assembly	Taxation	Trade Unions	Transport	Tsunami	Unemployment
20041001							10		12	5		23	17				10	19		30			22	2		4	7		20											19
20041101							8		14	3		25	15				8	29		39			23	2		4	10		22											26
20041201							7		12	4		24	15				9	23		46			25	1		5	11		19											20
20050101							6		9	3		24	12				8	26		49			25	2		3	9		21											18
20050201							6		12	4		26	14				11	29		32			27	1		5	10		18											20
20050301		3	3				9		14	3	3	24	13				10	24		22			31	2	1	5	12		19	1		3		8		2	4			26
20050501							9		10	7		24	14				14	17		17			34	2		5	12		17											24
20050601							10		13	7		28	12				14	24		12			36	2		6	12		18											24
20050701							3		16	5		31	14				10	25		13			35	2		7	12		21											23
20050801							5		18	5		17	13				7	16		11			31	5		9	12		28											25
20050901							7		18	4		17	13				8	15		11			34	4		9	11		30											27
20051001							11		15	3		16	15				8	17		13			29	1		8	11		35											24
20051101							16		13	5		19	12					23		10			29	1		12			23											30
20060101							11		19	6		16	12				7	17		10			34	1		16	13		17											31
20060201							4		24	5		16	14				8	21		10			35	2		11	14		14											32
20060301							3		20	6		15	14				10	21					40	3		9	9		22											33
20060401							4		20	6		14	14				10	19					38	3		11	13		14											35
20060501							5		26	5		18	11				10	17					34	3		11	13		9											38
20060601		3	3				4		19	7	3	21	13				14	15		6			31	2	3	11	15		5	1		3		2		1	0			41
20060701		2	2				4		21	7	4	21	15				8	14		5			39	3	5	13	20		11	2		8		3		2				36
20060801		4	4				6		25	6	5	14	15				9	9		5			38	3	6	13	16		10	1		3		3		2	2			42
20061001							8		24	5		16	14				9	11					36	7		13	15										2			44
20061101							4		29	7		15	15				10	11					34	15		12	13										1			48
20061201		3	3				5		28	7	4	13	16				11	9	1	7			41	3	4	15	13			2		4		5		3	2			48
20070101		3	3				4		34	7	6	8	14				10	7	2	8			35	3	4	17	12			1		2		5		3	2			49
20070401		4	4				2		23	6	5	8	15				8	5	1	9			44	3	4	13	13			1		2		5		2	1			53
20070501		5	5				3		20	6	4	8	15				8	6	2	13			50	4	4	13	17			1		2		7		3	2			53
20070601		6	6				2		27	5	4	7	14				9	5	2	2			60	15	4	12	11			1		2		4		4	2			56
20070701							4		17	5		7	13				5	3		1			59	2		12	7										3			49
20070801		5	5				1		15	7	3	6	14				6	2	1	1			64	1	4	13	6			1		1		3		1	1			45
20070901							1		16	9		6	18				9	5					52	2		20	8										1			57
20071001							1		20	8		10	19				9	5					32	3		15	7										1			58
20071201							1		19	10		13	15				8	5					22	1		18	8										1			60
20080101							2		20	9		9	16				9	4					21	1		19	6										1			63
20080201		6	6				2		27	10	5	9	16				8	6		2			19	1	6	17	6					2		4		2	2			65
20080301							1		17	13		8	24				7	4					28	1		16	7										1			68
20080401							1		19	9		5	17				7	3					19	1		21	8										1			75
20080501							1		17	9		6	14				7	5					20			20	9										1			76
20080601							2		18	9		7	12				7	8					19	1		16	8										1			77
20080701							2		17	10		7	11				6	3					17			19	10										2			75
20080801							2		13	19			13				8	8					17	1		26	9										1			78
20080901							2		16	7			11				5	6					18	1		22	6										1			73
20081001							1		14	8			12				7	9					18	1		26	5										1			77
20081101							1		17	7			11				6	7					19	2		22	4										1			78
20081201							1		17	7			12					7					15	2		17											1			80
20090101							2		14	7			12				7	6					16	2		17	4										1			78
20090201							2		15	9			15				5	9					19	2		26	5										2			83
20090401							1		13	7			16				8	8					18	1		29	5										1			84
20090501							3		17	20			12				6	8					14	3		15	4										1			79
20090601							3		17	4			12				12	11					14	3		15	6										3			86
20090701							2		13	4			15				9	11					15	2		14	5										5			82
20090801							2		17	7			12				6	9					15	3		21	6										3			84
20091001							2		21	5			8					10					10	2		21											3			82
20091101							2		25	4			9				6	11					13	2		15	6							9			3			82
20100201							1		29	6			10				5	12					12	1		15	6							17			3			85
20100301							2		19	7			10				6	10					13	1		18	6							12			3			83
20100401							2		16	6			10				7	15					16	2		18	6							5			4			83
20100501							3		17	7			11					15					15	2		15											5			80
20100601							4		20	7			11				5	20					16	1		15	11							6			5			78
20100701							3		15	7			12				4	17					16	2		17	6							4			5			85
20100801							3		12	6			11				5	17					18	1		19	6							4			9			85
20100901							2		13	5			10				5	22					16	2		21	10							2			7			85
20101001							3		8	9			10				7	28					13	2		20	8							2			26			79
20101101							4		10	7			8				3	15					9	2		24	7							2			26			82
20101201							4		12	7			10					14					9	3		22											36			79
20110101							4		11	6			8				3	18					9	4		20	6							3			40			73
20110201							5		12	7			6				3	18					8	7		22	7							2			41			75
20110301							5		10	7			7				3	21					10	2		22	5							3			39			70
20110401							8		12	9			7				4	19					11	6		25	5							5			35			71
20110501							15		10	8			9				4	17					10	2		29	7							4			29			73
20110601							8		12	11			8				5	16					12	3		30	5							6			15			76
20110701							11		11	11			9				5	21					14	3		29	7							4			10			81
20110801							8		9	13			10				4	18					15	3		39	7							3			4			80
20110901							9		9	13			8				5	19					14	6		41	7							3			6			79
20111001							5		10	14			8				5	22					26	3		30	7							4			4			78
20111101							4		16	14			8				3	19					17	4		30	5							4			3			80
20111201							4		15	11			9				5	23					14	3		22	6							4			4			82
20120101							6		15	13			10				4	21					11	2		26	6							4			4			79
20120201							8		9	15			9				4	21					11	1		30	8							3			5			86
20120301							6		9	10			11				6	25					10	3		29	6							4			8			83
20120401							6		8	8			8				5	24					6	3		24	8							3			7			83
20120501							6		10	14			8				5	29					11	4			5							5			6			87
20120601							4		10	13								34						3													9			85
20120701							4		13	11								32						3													11			87
20120801							23		32				24				15	69					23	12										14			53			51
20120901							15		19				18				12	65					12	11			7							9			55			41
20121001							14		41				17				16	68					17	18										16			56			53
20121101							9		14				9				9	66					15	5										10			73			31
20121201							9		23				15				12	63					11	7								7		27			25			55
20130101													12				9	64					10	7			7							16			30			50
20130201							10		9				5				27	81					2	6			8							5			18			8
20130301							19		8				12				23	82					3	6			10							7			22			9
